,cluster1,cluster2,cluster3
1237,26.0,10.0,13.0
1239,28.0,11.0,19.0
1241,31.0,14.0,20.0
1243,34.0,20.0,26.0
1246,35.0,25.0,28.0
1248,35.0,28.0,28.0
1249,36.0,29.0,28.0
1250,36.0,28.0,29.0
1252,36.0,28.0,29.0
1253,34.0,26.0,26.0
1255,36.0,27.0,28.0
1256,34.0,25.0,26.0
1259,27.0,13.0,18.0
1260,36.0,28.0,29.0
1262,36.0,26.0,28.0
1282,36.0,28.0,26.0
1283,36.0,29.0,29.0
1297,24.0,11.0,15.0
1301,29.0,15.0,20.0
1309,34.0,24.0,26.0
1310,34.0,26.0,27.0
1311,36.0,29.0,28.0
1312,32.0,21.0,22.0
1313,35.0,27.0,27.0
1334,30.0,17.0,22.0
1348,36.0,23.0,26.0
1349,24.0,13.0,12.0
1350,36.0,29.0,29.0
1380,14.0,6.0,5.0
1381,34.0,28.0,26.0
1382,35.0,28.0,28.0
1384,35.0,20.0,25.0
1386,34.0,25.0,27.0
1388,34.0,23.0,25.0
1389,21.0,14.0,14.0
1391,25.0,11.0,12.0
1393,31.0,17.0,22.0
1402,33.0,25.0,29.0
1405,22.0,11.0,14.0
1407,36.0,27.0,27.0
1408,27.0,15.0,15.0
1410,35.0,22.0,24.0
1414,32.0,20.0,23.0
1416,27.0,15.0,14.0
1417,34.0,18.0,24.0
1423,36.0,30.0,29.0
1424,36.0,28.0,28.0
1425,36.0,29.0,29.0
1426,36.0,27.0,28.0
1427,36.0,28.0,27.0
1428,36.0,29.0,29.0
1429,36.0,28.0,28.0
1430,36.0,28.0,29.0
1431,36.0,29.0,29.0
1432,36.0,28.0,29.0
1433,36.0,27.0,28.0
1434,35.0,29.0,29.0
1435,36.0,29.0,29.0
1436,36.0,28.0,29.0
1437,36.0,28.0,27.0
1438,36.0,29.0,29.0
1439,35.0,28.0,29.0
1440,36.0,29.0,28.0
1441,35.0,28.0,29.0
1442,36.0,29.0,29.0
1443,36.0,28.0,29.0
1444,35.0,28.0,27.0
1445,36.0,29.0,29.0
1446,36.0,29.0,29.0
1447,36.0,29.0,29.0
1448,35.0,19.0,25.0
1451,23.0,10.0,12.0
1452,35.0,22.0,27.0
1455,33.0,20.0,24.0
1456,36.0,29.0,29.0
1457,36.0,29.0,28.0
1461,30.0,17.0,21.0
1465,15.0,8.0,8.0
1468,34.0,20.0,23.0
1470,30.0,14.0,17.0
1472,32.0,17.0,21.0
1477,32.0,18.0,26.0
1481,35.0,20.0,24.0
1483,33.0,16.0,19.0
1486,34.0,23.0,27.0
1490,35.0,25.0,25.0
1492,34.0,28.0,28.0
1494,34.0,23.0,28.0
1512,20.0,7.0,10.0
1515,34.0,17.0,21.0
1518,34.0,17.0,24.0
1520,35.0,22.0,25.0
1521,36.0,29.0,29.0
1522,36.0,29.0,29.0
1525,29.0,14.0,15.0
1533,4.0,3.0,2.0
1534,32.0,22.0,22.0
1535,34.0,23.0,23.0
1536,36.0,29.0,29.0
1537,36.0,28.0,27.0
1538,32.0,18.0,18.0
1539,33.0,16.0,20.0
1540,35.0,27.0,25.0
1541,34.0,23.0,22.0
1542,34.0,25.0,24.0
1543,36.0,29.0,28.0
1544,36.0,29.0,27.0
1545,34.0,20.0,23.0
1546,35.0,27.0,27.0
1547,35.0,26.0,25.0
1550,34.0,27.0,26.0
1552,35.0,27.0,26.0
1553,34.0,26.0,28.0
1554,36.0,28.0,27.0
