,cluster1,cluster2,cluster3
27826,33.0,18.0,24.0
27829,31.0,17.0,23.0
27832,28.0,15.0,21.0
27835,36.0,29.0,29.0
27837,36.0,27.0,27.0
27838,35.0,19.0,25.0
27839,34.0,21.0,26.0
27842,36.0,29.0,28.0
27843,36.0,29.0,29.0
27844,36.0,29.0,29.0
27846,36.0,28.0,29.0
27848,34.0,18.0,26.0
27850,35.0,17.0,24.0
27851,35.0,28.0,29.0
27853,36.0,28.0,29.0
27854,36.0,21.0,27.0
27856,36.0,26.0,29.0
27859,36.0,24.0,28.0
27860,35.0,20.0,26.0
27862,36.0,19.0,26.0
27863,34.0,16.0,25.0
27865,35.0,20.0,26.0
27868,32.0,17.0,25.0
27871,36.0,24.0,27.0
27872,36.0,28.0,29.0
27873,36.0,28.0,29.0
27875,35.0,16.0,26.0
27876,36.0,28.0,29.0
27878,36.0,28.0,29.0
27880,36.0,28.0,29.0
27888,26.0,10.0,14.0
27892,35.0,22.0,26.0
27894,30.0,17.0,21.0
27895,22.0,11.0,15.0
27897,35.0,17.0,24.0
27898,30.0,15.0,21.0
27900,22.0,11.0,16.0
27902,23.0,11.0,18.0
27905,35.0,24.0,26.0
27907,36.0,29.0,29.0
27908,36.0,29.0,29.0
27910,30.0,16.0,22.0
27914,34.0,24.0,25.0
27917,33.0,20.0,23.0
27918,34.0,22.0,26.0
27919,29.0,15.0,21.0
27921,33.0,17.0,22.0
27922,35.0,20.0,27.0
27924,35.0,21.0,26.0
27926,35.0,24.0,28.0
27927,32.0,17.0,25.0
27929,35.0,19.0,27.0
27935,36.0,29.0,29.0
27936,36.0,28.0,29.0
27937,35.0,25.0,29.0
27938,36.0,28.0,29.0
27939,36.0,29.0,29.0
27940,36.0,29.0,29.0
27941,36.0,29.0,29.0
27943,27.0,15.0,17.0
27944,26.0,18.0,18.0
27946,33.0,14.0,21.0
27947,27.0,17.0,17.0
27949,32.0,17.0,22.0
27950,35.0,21.0,26.0
27951,34.0,19.0,24.0
27961,35.0,19.0,25.0
27963,34.0,19.0,23.0
27966,34.0,21.0,26.0
27968,36.0,25.0,27.0
27969,23.0,12.0,5.0
27971,28.0,17.0,22.0
27972,36.0,30.0,29.0
27974,21.0,10.0,14.0
27977,23.0,14.0,18.0
27979,22.0,11.0,16.0
27986,24.0,11.0,15.0
27991,18.0,7.0,11.0
27992,28.0,14.0,18.0
27994,26.0,14.0,18.0
27995,28.0,15.0,20.0
27997,25.0,10.0,17.0
27999,29.0,15.0,19.0
28002,34.0,21.0,24.0
28009,30.0,16.0,21.0
28010,35.0,16.0,23.0
28019,32.0,17.0,20.0
28032,34.0,18.0,26.0
28033,34.0,18.0,21.0
28034,36.0,21.0,27.0
28035,32.0,17.0,21.0
28037,35.0,24.0,26.0
28043,36.0,29.0,29.0
28044,36.0,29.0,29.0
28045,36.0,29.0,28.0
28046,36.0,28.0,29.0
28047,36.0,29.0,29.0
28048,35.0,27.0,25.0
28049,36.0,29.0,29.0
28050,36.0,30.0,29.0
28051,36.0,29.0,29.0
28052,36.0,29.0,29.0
28053,36.0,29.0,29.0
28054,36.0,28.0,27.0
28055,36.0,29.0,29.0
28056,36.0,29.0,28.0
28057,36.0,29.0,29.0
28058,36.0,29.0,29.0
28059,36.0,29.0,29.0
28060,35.0,29.0,29.0
28061,36.0,29.0,29.0
28062,36.0,29.0,29.0
28063,36.0,29.0,29.0
28064,35.0,25.0,28.0
28065,36.0,28.0,29.0
28066,36.0,29.0,29.0
28067,36.0,28.0,29.0
28074,33.0,18.0,22.0
28077,36.0,29.0,29.0
28078,33.0,17.0,23.0
28084,36.0,28.0,29.0
28088,32.0,18.0,26.0
28091,36.0,27.0,29.0
28092,35.0,26.0,29.0
28094,29.0,11.0,18.0
28095,15.0,6.0,9.0
28096,32.0,16.0,22.0
28097,35.0,21.0,27.0
28098,35.0,21.0,27.0
28100,36.0,26.0,29.0
28105,36.0,28.0,28.0
28106,34.0,20.0,26.0
28108,35.0,23.0,29.0
28110,32.0,15.0,19.0
28111,34.0,21.0,27.0
28113,36.0,20.0,29.0
28114,26.0,10.0,19.0
28133,34.0,19.0,29.0
28135,35.0,17.0,29.0
28136,35.0,19.0,29.0
28137,35.0,17.0,29.0
28140,35.0,14.0,25.0
28141,35.0,29.0,27.0
28142,36.0,29.0,29.0
28143,34.0,20.0,28.0
28144,33.0,14.0,22.0
28148,36.0,23.0,29.0
28149,35.0,19.0,26.0
28150,35.0,19.0,25.0
28151,23.0,9.0,13.0
28154,34.0,17.0,26.0
28156,31.0,13.0,21.0
28157,36.0,27.0,29.0
28161,35.0,16.0,24.0
28162,34.0,15.0,21.0
28165,35.0,24.0,29.0
28168,35.0,24.0,29.0
28169,35.0,23.0,29.0
28170,35.0,29.0,27.0
28172,22.0,8.0,10.0
28174,33.0,17.0,26.0
28176,28.0,8.0,20.0
28179,29.0,14.0,20.0
28182,30.0,10.0,18.0
28184,36.0,23.0,29.0
28186,33.0,17.0,27.0
28187,35.0,23.0,29.0
28189,32.0,13.0,24.0
28192,35.0,19.0,27.0
28195,23.0,9.0,17.0
28196,35.0,20.0,28.0
28197,33.0,14.0,24.0
28199,35.0,25.0,29.0
28200,31.0,15.0,21.0
28203,36.0,25.0,28.0
28204,36.0,24.0,29.0
28208,33.0,20.0,24.0
28210,34.0,22.0,29.0
28211,36.0,26.0,29.0
28213,32.0,21.0,29.0
28226,24.0,10.0,21.0
28228,34.0,18.0,26.0
28229,34.0,18.0,26.0
28231,36.0,22.0,26.0
28234,36.0,23.0,26.0
28235,32.0,17.0,19.0
28236,29.0,23.0,17.0
28238,34.0,21.0,25.0
28240,35.0,18.0,17.0
28243,36.0,19.0,21.0
28244,33.0,16.0,15.0
28245,34.0,15.0,16.0
28249,32.0,16.0,19.0
28250,35.0,17.0,26.0
28251,35.0,21.0,26.0
28252,33.0,18.0,25.0
28254,32.0,24.0,22.0
28255,36.0,28.0,29.0
28256,36.0,23.0,28.0
28259,35.0,20.0,26.0
28260,29.0,13.0,17.0
28262,22.0,17.0,15.0
28263,36.0,15.0,27.0
28264,36.0,21.0,28.0
28266,36.0,17.0,27.0
28267,35.0,16.0,26.0
28268,35.0,19.0,26.0
28270,32.0,17.0,12.0
28271,36.0,25.0,22.0
28273,36.0,20.0,26.0
28274,35.0,20.0,26.0
28275,36.0,27.0,27.0
28277,35.0,25.0,28.0
28279,36.0,26.0,28.0
28281,35.0,23.0,26.0
28282,27.0,12.0,13.0
28283,34.0,15.0,23.0
28284,36.0,25.0,27.0
28285,34.0,16.0,22.0
28287,36.0,23.0,27.0
28288,36.0,28.0,29.0
28289,36.0,5.0,5.0
28290,36.0,14.0,16.0
28291,36.0,10.0,17.0
28292,36.0,5.0,9.0
28293,36.0,17.0,22.0
28294,36.0,14.0,23.0
28295,36.0,14.0,26.0
28296,36.0,27.0,29.0
28297,36.0,25.0,29.0
28299,35.0,19.0,25.0
28303,35.0,21.0,26.0
28304,35.0,21.0,26.0
28305,36.0,29.0,29.0
28306,36.0,29.0,29.0
28307,28.0,14.0,18.0
28309,36.0,26.0,28.0
28311,36.0,30.0,29.0
28313,31.0,11.0,21.0
28316,35.0,15.0,17.0
28317,35.0,17.0,24.0
28318,22.0,8.0,7.0
28322,35.0,22.0,27.0
28323,35.0,28.0,29.0
28324,35.0,23.0,27.0
28327,35.0,26.0,29.0
28328,26.0,14.0,17.0
28330,35.0,29.0,29.0
28332,19.0,11.0,10.0
28334,35.0,27.0,29.0
28336,35.0,20.0,26.0
28338,35.0,20.0,26.0
28339,36.0,28.0,27.0
28340,35.0,27.0,27.0
28342,36.0,28.0,29.0
28343,35.0,21.0,25.0
28345,35.0,20.0,26.0
28348,35.0,19.0,25.0
28349,36.0,29.0,29.0
28351,23.0,12.0,12.0
28352,35.0,16.0,18.0
28353,35.0,27.0,29.0
28355,33.0,7.0,9.0
28356,35.0,19.0,26.0
28358,35.0,28.0,26.0
28359,36.0,28.0,29.0
28361,36.0,7.0,8.0
28362,28.0,1.0,3.0
28363,36.0,27.0,29.0
28370,36.0,28.0,29.0
28372,35.0,19.0,26.0
28374,26.0,11.0,15.0
28381,28.0,14.0,20.0
28384,23.0,12.0,17.0
28385,35.0,16.0,28.0
28386,28.0,13.0,19.0
28387,35.0,20.0,27.0
28389,35.0,17.0,27.0
28390,33.0,19.0,22.0
28392,36.0,23.0,25.0
28393,23.0,11.0,14.0
28394,36.0,29.0,29.0
28395,34.0,29.0,29.0
28399,8.0,1.0,6.0
28402,32.0,16.0,21.0
28404,35.0,26.0,29.0
28405,34.0,20.0,26.0
28406,34.0,14.0,20.0
28407,34.0,6.0,11.0
28408,34.0,7.0,11.0
28409,34.0,1.0,4.0
28410,35.0,1.0,2.0
28411,34.0,1.0,6.0
28412,34.0,13.0,13.0
28413,35.0,9.0,18.0
28416,21.0,12.0,13.0
28420,35.0,22.0,27.0
28422,35.0,29.0,28.0
28424,35.0,27.0,29.0
28426,31.0,17.0,21.0
28427,29.0,16.0,20.0
28430,35.0,27.0,29.0
28431,33.0,22.0,25.0
28433,32.0,20.0,26.0
28435,22.0,14.0,14.0
28436,30.0,15.0,19.0
28438,34.0,26.0,28.0
28440,35.0,24.0,28.0
28444,34.0,18.0,27.0
28446,34.0,24.0,26.0
28447,30.0,19.0,23.0
28449,30.0,18.0,22.0
28450,32.0,17.0,21.0
28453,36.0,23.0,27.0
28454,34.0,20.0,26.0
28455,29.0,13.0,16.0
28458,27.0,14.0,20.0
28459,35.0,22.0,27.0
28461,36.0,30.0,29.0
28464,20.0,9.0,12.0
28467,14.0,8.0,10.0
28469,29.0,17.0,20.0
28470,30.0,17.0,21.0
28472,36.0,30.0,29.0
28474,26.0,13.0,17.0
28488,29.0,15.0,22.0
28501,31.0,17.0,15.0
28502,30.0,20.0,20.0
28503,35.0,26.0,28.0
28508,34.0,21.0,26.0
28515,30.0,17.0,19.0
28517,36.0,23.0,28.0
28518,36.0,29.0,29.0
28519,35.0,26.0,27.0
28520,35.0,26.0,29.0
28521,35.0,28.0,29.0
28522,36.0,28.0,29.0
28523,36.0,29.0,29.0
28524,35.0,27.0,27.0
28525,36.0,27.0,28.0
28526,35.0,23.0,27.0
28527,36.0,28.0,28.0
28528,35.0,28.0,28.0
28529,34.0,27.0,29.0
28530,35.0,27.0,28.0
28531,35.0,24.0,26.0
28532,36.0,27.0,29.0
28533,35.0,25.0,29.0
28534,34.0,25.0,28.0
28535,36.0,28.0,28.0
28536,36.0,28.0,28.0
28537,35.0,25.0,27.0
28538,36.0,30.0,29.0
28539,35.0,29.0,29.0
28540,36.0,30.0,29.0
28541,33.0,22.0,28.0
28542,36.0,27.0,28.0
28543,36.0,28.0,29.0
28544,36.0,28.0,29.0
28545,35.0,27.0,28.0
28546,36.0,26.0,28.0
28547,35.0,29.0,28.0
28549,35.0,29.0,28.0
28551,34.0,27.0,26.0
28552,36.0,28.0,29.0
28558,33.0,23.0,28.0
28561,35.0,21.0,28.0
28562,28.0,13.0,16.0
28564,35.0,27.0,28.0
28566,36.0,28.0,28.0
28568,35.0,19.0,27.0
28569,29.0,25.0,25.0
28571,30.0,16.0,26.0
28572,36.0,23.0,28.0
28573,36.0,29.0,28.0
28574,35.0,24.0,27.0
28575,33.0,19.0,22.0
28577,34.0,26.0,27.0
28578,36.0,29.0,28.0
28579,36.0,29.0,29.0
28581,36.0,26.0,28.0
28582,35.0,26.0,29.0
28584,33.0,25.0,27.0
28586,35.0,22.0,26.0
28588,35.0,21.0,25.0
28591,34.0,23.0,27.0
28592,32.0,21.0,24.0
28594,35.0,23.0,26.0
28595,28.0,15.0,24.0
28599,25.0,10.0,13.0
28600,33.0,19.0,26.0
28601,34.0,19.0,26.0
28602,36.0,23.0,26.0
28604,24.0,13.0,18.0
28607,29.0,14.0,18.0
28614,34.0,19.0,28.0
28615,36.0,28.0,29.0
28616,36.0,30.0,29.0
28618,31.0,18.0,23.0
28619,25.0,10.0,9.0
28620,28.0,14.0,17.0
28621,32.0,17.0,20.0
28624,35.0,24.0,27.0
28626,34.0,21.0,26.0
28627,36.0,27.0,29.0
28630,36.0,26.0,29.0
28633,35.0,28.0,29.0
28635,36.0,28.0,28.0
28636,36.0,21.0,27.0
28637,36.0,28.0,28.0
28642,33.0,18.0,26.0
28645,36.0,24.0,27.0
28646,33.0,17.0,25.0
28647,36.0,29.0,26.0
28648,34.0,18.0,25.0
28649,29.0,18.0,23.0
28650,31.0,15.0,25.0
28652,35.0,22.0,25.0
28653,33.0,18.0,24.0
28654,35.0,23.0,26.0
28656,35.0,21.0,28.0
28658,33.0,23.0,27.0
28659,21.0,11.0,5.0
28661,35.0,22.0,27.0
28662,34.0,25.0,29.0
28664,32.0,20.0,26.0
28665,25.0,13.0,17.0
28667,33.0,17.0,23.0
28671,36.0,20.0,25.0
28672,35.0,21.0,26.0
28673,33.0,17.0,24.0
28675,36.0,28.0,29.0
28676,36.0,28.0,29.0
28678,35.0,19.0,25.0
28680,35.0,26.0,28.0
28684,36.0,29.0,29.0
28685,36.0,26.0,29.0
28686,36.0,29.0,29.0
28688,30.0,17.0,24.0
28689,28.0,15.0,20.0
28691,32.0,20.0,25.0
28692,33.0,20.0,27.0
28696,32.0,26.0,27.0
28699,25.0,14.0,18.0
28701,29.0,14.0,18.0
28702,29.0,16.0,21.0
28704,33.0,20.0,25.0
28705,32.0,25.0,28.0
28707,34.0,25.0,27.0
28709,27.0,17.0,18.0
28711,33.0,20.0,25.0
28713,33.0,15.0,23.0
28714,31.0,15.0,18.0
28715,35.0,23.0,25.0
28727,21.0,8.0,11.0
28734,36.0,19.0,25.0
28735,29.0,18.0,18.0
28736,36.0,27.0,29.0
28738,35.0,27.0,28.0
28741,35.0,21.0,26.0
28743,33.0,17.0,24.0
28746,35.0,22.0,29.0
28747,22.0,8.0,12.0
28749,28.0,14.0,18.0
28750,33.0,18.0,25.0
28752,36.0,26.0,28.0
28753,36.0,18.0,23.0
28755,36.0,27.0,28.0
28756,36.0,19.0,26.0
28759,36.0,22.0,28.0
28761,36.0,21.0,27.0
28762,35.0,28.0,28.0
28763,36.0,29.0,29.0
28764,36.0,29.0,29.0
28765,36.0,29.0,29.0
28766,36.0,29.0,29.0
28767,36.0,29.0,29.0
28768,36.0,29.0,29.0
28769,36.0,29.0,29.0
28770,36.0,29.0,29.0
28771,36.0,29.0,29.0
28772,36.0,29.0,29.0
28773,36.0,29.0,29.0
28774,36.0,29.0,29.0
28775,36.0,29.0,29.0
28776,36.0,28.0,28.0
28777,36.0,29.0,29.0
28778,36.0,29.0,29.0
28779,36.0,29.0,29.0
28780,36.0,29.0,29.0
28781,35.0,28.0,28.0
28782,36.0,28.0,28.0
28783,36.0,29.0,29.0
28784,36.0,29.0,29.0
28785,36.0,25.0,27.0
28788,30.0,13.0,15.0
28792,36.0,22.0,27.0
28794,35.0,19.0,25.0
28795,36.0,27.0,29.0
28799,36.0,29.0,29.0
28802,36.0,28.0,29.0
28804,36.0,28.0,29.0
28807,33.0,17.0,25.0
28808,28.0,12.0,14.0
28810,34.0,12.0,23.0
28811,35.0,28.0,28.0
28813,35.0,27.0,28.0
28815,36.0,22.0,26.0
28816,36.0,25.0,29.0
28820,35.0,28.0,28.0
28822,35.0,28.0,29.0
28823,36.0,29.0,29.0
28825,35.0,25.0,28.0
28826,21.0,7.0,8.0
28828,36.0,29.0,29.0
28829,35.0,28.0,29.0
28831,33.0,25.0,21.0
28832,35.0,26.0,29.0
28834,35.0,18.0,26.0
28835,36.0,26.0,27.0
28837,30.0,13.0,20.0
28848,20.0,11.0,14.0
28855,34.0,13.0,25.0
28856,24.0,8.0,17.0
28858,34.0,17.0,26.0
28859,34.0,15.0,22.0
28860,36.0,29.0,29.0
28861,35.0,29.0,25.0
28862,36.0,29.0,29.0
28878,10.0,5.0,1.0
28881,36.0,27.0,28.0
28882,36.0,27.0,28.0
28883,36.0,27.0,28.0
28930,27.0,14.0,18.0
28937,2.0,,1.0
28938,27.0,15.0,11.0
28956,15.0,7.0,8.0
28967,31.0,20.0,27.0
28968,35.0,18.0,17.0
28986,33.0,23.0,20.0
28997,36.0,30.0,29.0
28998,36.0,29.0,29.0
29023,34.0,14.0,23.0
29026,35.0,23.0,23.0
29031,35.0,17.0,22.0
29035,36.0,20.0,26.0
29036,35.0,20.0,25.0
29043,35.0,22.0,28.0
29050,18.0,5.0,8.0
29052,35.0,18.0,26.0
29056,34.0,16.0,21.0
29062,35.0,21.0,28.0
29063,31.0,15.0,22.0
29070,32.0,16.0,13.0
29071,36.0,23.0,25.0
29074,30.0,16.0,23.0
29076,33.0,24.0,25.0
29080,30.0,14.0,19.0
29084,35.0,18.0,25.0
29088,34.0,19.0,25.0
29092,35.0,20.0,24.0
29093,34.0,17.0,24.0
29095,36.0,26.0,29.0
29096,36.0,26.0,28.0
29098,19.0,6.0,4.0
29099,36.0,22.0,25.0
29101,33.0,17.0,26.0
29107,36.0,24.0,28.0
29110,32.0,22.0,21.0
29112,33.0,22.0,21.0
29113,35.0,23.0,27.0
29114,26.0,18.0,16.0
29115,35.0,19.0,26.0
29117,34.0,16.0,25.0
29121,28.0,14.0,15.0
29126,35.0,18.0,26.0
29136,34.0,20.0,23.0
29142,33.0,19.0,24.0
29147,27.0,11.0,15.0
29154,34.0,21.0,27.0
29158,33.0,20.0,24.0
29159,36.0,23.0,27.0
29168,29.0,15.0,19.0
29170,36.0,20.0,25.0
29179,36.0,30.0,29.0
29191,35.0,21.0,28.0
29194,36.0,23.0,27.0
29195,32.0,19.0,23.0
29201,21.0,7.0,7.0
29206,30.0,16.0,17.0
29213,30.0,13.0,18.0
29214,27.0,9.0,8.0
29222,34.0,23.0,24.0
29224,32.0,26.0,23.0
29230,34.0,22.0,26.0
29231,35.0,28.0,28.0
29232,35.0,22.0,24.0
29233,35.0,25.0,28.0
29234,34.0,20.0,25.0
29235,33.0,20.0,21.0
29236,35.0,22.0,26.0
29237,35.0,28.0,28.0
29238,35.0,26.0,28.0
29239,35.0,19.0,23.0
29240,27.0,16.0,13.0
29241,36.0,30.0,29.0
29242,36.0,30.0,29.0
29244,34.0,17.0,26.0
29246,28.0,13.0,19.0
29264,35.0,20.0,25.0
29265,36.0,26.0,29.0
29267,36.0,29.0,29.0
29269,21.0,7.0,10.0
29271,33.0,16.0,23.0
29273,36.0,27.0,29.0
29275,36.0,22.0,27.0
29278,35.0,27.0,28.0
29279,32.0,16.0,23.0
29280,27.0,11.0,14.0
29282,34.0,23.0,26.0
29283,34.0,23.0,27.0
29285,35.0,23.0,26.0
29286,34.0,19.0,25.0
29287,30.0,19.0,24.0
29288,23.0,12.0,13.0
29289,25.0,11.0,16.0
29292,36.0,24.0,28.0
29293,35.0,23.0,28.0
29295,36.0,26.0,29.0
29297,35.0,29.0,29.0
29298,31.0,14.0,22.0
29299,36.0,25.0,29.0
29301,36.0,21.0,28.0
29302,33.0,15.0,24.0
29305,35.0,18.0,26.0
29307,25.0,8.0,14.0
29308,32.0,10.0,20.0
29310,33.0,12.0,22.0
29312,34.0,11.0,26.0
29314,34.0,20.0,26.0
29316,35.0,25.0,28.0
29317,35.0,19.0,26.0
29319,36.0,28.0,28.0
29320,35.0,26.0,29.0
29322,34.0,20.0,22.0
29324,35.0,21.0,27.0
29325,30.0,17.0,23.0
29326,30.0,16.0,22.0
29327,33.0,16.0,25.0
29328,34.0,23.0,27.0
29329,36.0,30.0,28.0
29331,35.0,20.0,26.0
29333,33.0,19.0,25.0
29334,35.0,23.0,29.0
29337,34.0,24.0,28.0
29339,36.0,27.0,29.0
29340,36.0,29.0,29.0
29344,36.0,19.0,26.0
29346,35.0,27.0,29.0
29348,35.0,20.0,23.0
29350,36.0,27.0,29.0
29354,36.0,24.0,28.0
29355,36.0,20.0,28.0
29357,36.0,29.0,29.0
29358,35.0,26.0,26.0
29359,34.0,20.0,26.0
29360,36.0,22.0,27.0
29361,36.0,23.0,29.0
29365,34.0,19.0,25.0
29368,34.0,21.0,26.0
29369,35.0,19.0,25.0
29370,36.0,30.0,27.0
29371,35.0,13.0,26.0
29373,35.0,23.0,27.0
29377,31.0,17.0,17.0
29379,31.0,16.0,21.0
29380,34.0,20.0,25.0
29381,35.0,18.0,26.0
29382,35.0,26.0,27.0
29384,36.0,27.0,29.0
29385,36.0,30.0,29.0
29387,35.0,20.0,25.0
29391,34.0,18.0,21.0
29396,32.0,19.0,21.0
29397,35.0,24.0,27.0
29401,32.0,19.0,20.0
29402,36.0,30.0,29.0
29406,32.0,16.0,20.0
29407,35.0,28.0,26.0
29408,35.0,26.0,25.0
29410,35.0,21.0,26.0
29412,36.0,29.0,29.0
29413,36.0,29.0,29.0
29417,36.0,25.0,28.0
29424,36.0,22.0,28.0
29426,34.0,20.0,26.0
29428,35.0,23.0,29.0
29430,36.0,27.0,29.0
29432,35.0,22.0,29.0
29433,36.0,30.0,29.0
29435,36.0,28.0,29.0
29436,36.0,30.0,29.0
29437,36.0,30.0,29.0
29438,28.0,13.0,14.0
29439,36.0,27.0,29.0
29441,30.0,12.0,18.0
29442,36.0,27.0,29.0
29443,35.0,21.0,25.0
29444,35.0,20.0,27.0
29446,36.0,24.0,27.0
29448,36.0,26.0,29.0
29450,36.0,28.0,29.0
29452,36.0,25.0,29.0
29454,35.0,27.0,29.0
29455,34.0,21.0,28.0
29457,36.0,26.0,29.0
29458,36.0,25.0,26.0
29461,36.0,30.0,28.0
29462,27.0,11.0,13.0
29464,36.0,27.0,29.0
29466,24.0,12.0,13.0
29467,36.0,22.0,27.0
29469,35.0,18.0,26.0
29470,35.0,18.0,26.0
29471,35.0,18.0,25.0
29472,34.0,21.0,27.0
29475,36.0,27.0,29.0
29476,35.0,21.0,25.0
29478,35.0,24.0,29.0
29479,35.0,29.0,29.0
29480,36.0,26.0,28.0
29481,36.0,28.0,29.0
29483,36.0,29.0,29.0
29486,35.0,18.0,26.0
29487,35.0,21.0,25.0
29488,35.0,23.0,29.0
29490,34.0,20.0,26.0
29491,32.0,16.0,20.0
29493,34.0,22.0,28.0
29495,29.0,10.0,13.0
29496,36.0,27.0,29.0
29497,36.0,27.0,29.0
29499,36.0,23.0,27.0
29500,34.0,19.0,23.0
29501,35.0,25.0,28.0
29504,36.0,18.0,26.0
29505,34.0,16.0,25.0
29507,36.0,25.0,28.0
29509,31.0,12.0,20.0
29510,36.0,22.0,27.0
29511,17.0,1.0,3.0
29512,35.0,17.0,24.0
29515,36.0,27.0,29.0
29516,36.0,29.0,27.0
29517,36.0,29.0,28.0
29519,36.0,25.0,29.0
29521,36.0,21.0,28.0
29522,34.0,19.0,26.0
29524,35.0,18.0,25.0
29526,35.0,20.0,27.0
29533,32.0,16.0,25.0
29534,30.0,14.0,20.0
29536,35.0,21.0,27.0
29538,35.0,22.0,28.0
29539,35.0,20.0,26.0
29541,25.0,11.0,17.0
29542,36.0,25.0,29.0
29544,35.0,26.0,25.0
29547,36.0,24.0,29.0
29549,36.0,28.0,29.0
29551,36.0,28.0,29.0
29552,36.0,25.0,28.0
29556,36.0,28.0,29.0
29558,34.0,17.0,25.0
29580,33.0,20.0,20.0
29581,36.0,29.0,29.0
29582,36.0,30.0,29.0
29583,36.0,21.0,24.0
29584,28.0,14.0,18.0
29593,35.0,26.0,29.0
29594,36.0,28.0,29.0
29595,35.0,27.0,29.0
29596,36.0,27.0,29.0
29597,36.0,27.0,29.0
29598,36.0,28.0,29.0
29599,36.0,28.0,29.0
29600,36.0,27.0,29.0
29601,35.0,26.0,29.0
29602,36.0,28.0,29.0
29603,35.0,21.0,23.0
29604,36.0,28.0,29.0
29605,35.0,27.0,29.0
29606,36.0,28.0,27.0
29607,36.0,27.0,29.0
29608,33.0,18.0,25.0
29609,36.0,28.0,29.0
29610,36.0,28.0,29.0
29611,36.0,24.0,29.0
29612,36.0,29.0,29.0
29613,36.0,27.0,29.0
29614,36.0,26.0,29.0
29615,36.0,28.0,29.0
29616,2.0,2.0,7.0
29618,34.0,20.0,25.0
29619,31.0,17.0,19.0
29621,33.0,17.0,22.0
29622,32.0,20.0,26.0
29623,28.0,14.0,16.0
29624,36.0,26.0,27.0
29625,35.0,17.0,22.0
29626,36.0,27.0,28.0
29631,15.0,8.0,11.0
29636,24.0,14.0,16.0
29641,30.0,19.0,16.0
29645,36.0,30.0,29.0
29653,28.0,11.0,8.0
29655,36.0,21.0,27.0
29658,32.0,17.0,21.0
29660,34.0,19.0,24.0
29667,32.0,14.0,16.0
29669,30.0,7.0,12.0
29671,30.0,9.0,15.0
29687,27.0,12.0,14.0
29690,12.0,9.0,9.0
29691,35.0,19.0,20.0
29692,36.0,26.0,28.0
29693,24.0,12.0,14.0
29695,35.0,21.0,26.0
29697,36.0,14.0,16.0
29698,35.0,12.0,11.0
29699,31.0,3.0,2.0
29700,33.0,12.0,13.0
29701,27.0,1.0,2.0
29702,28.0,1.0,1.0
29703,36.0,15.0,22.0
29704,36.0,29.0,29.0
29705,33.0,24.0,27.0
29706,25.0,2.0,
29707,35.0,15.0,19.0
29708,27.0,,1.0
29709,31.0,4.0,7.0
29710,34.0,15.0,15.0
29711,25.0,1.0,1.0
29712,34.0,12.0,16.0
29713,33.0,10.0,12.0
29714,36.0,18.0,23.0
29716,34.0,17.0,18.0
29717,30.0,2.0,8.0
29718,35.0,22.0,24.0
29719,32.0,7.0,9.0
29720,31.0,11.0,15.0
29721,27.0,1.0,1.0
29722,34.0,8.0,13.0
29723,36.0,29.0,28.0
29724,33.0,23.0,24.0
29733,36.0,16.0,21.0
29734,29.0,10.0,14.0
29759,30.0,4.0,6.0
29762,13.0,6.0,10.0
29767,36.0,26.0,29.0
29768,36.0,27.0,29.0
29770,36.0,19.0,27.0
29771,36.0,23.0,27.0
29772,36.0,23.0,29.0
29773,36.0,23.0,28.0
29774,31.0,22.0,28.0
29775,36.0,22.0,28.0
29776,36.0,26.0,29.0
29777,34.0,21.0,28.0
29778,31.0,22.0,28.0
29779,24.0,20.0,28.0
29780,36.0,25.0,29.0
29781,27.0,20.0,28.0
29782,36.0,28.0,29.0
29783,32.0,21.0,29.0
29784,34.0,23.0,29.0
29785,36.0,26.0,29.0
29786,36.0,22.0,28.0
29787,31.0,21.0,28.0
29788,32.0,22.0,29.0
29789,36.0,27.0,29.0
29790,36.0,22.0,28.0
29791,34.0,25.0,29.0
29792,36.0,21.0,29.0
29793,36.0,23.0,29.0
29794,33.0,22.0,28.0
29795,27.0,20.0,28.0
29796,36.0,21.0,29.0
29797,36.0,24.0,29.0
29798,27.0,19.0,27.0
29799,36.0,22.0,28.0
29800,32.0,21.0,28.0
29801,35.0,21.0,28.0
29802,33.0,23.0,28.0
29803,30.0,20.0,28.0
29804,36.0,14.0,23.0
29805,36.0,15.0,22.0
29806,36.0,15.0,21.0
29807,36.0,15.0,23.0
29808,18.0,2.0,5.0
29809,36.0,16.0,25.0
29810,19.0,3.0,5.0
29811,29.0,6.0,11.0
29812,36.0,14.0,21.0
29813,36.0,17.0,26.0
29814,36.0,14.0,20.0
29815,36.0,16.0,20.0
29816,33.0,10.0,15.0
29817,18.0,1.0,2.0
29818,21.0,1.0,6.0
29819,36.0,21.0,18.0
29820,28.0,4.0,8.0
29821,36.0,28.0,27.0
29822,36.0,29.0,29.0
29823,24.0,13.0,11.0
29824,34.0,10.0,13.0
29825,19.0,3.0,4.0
29826,36.0,16.0,23.0
29827,35.0,13.0,23.0
29828,26.0,5.0,7.0
29829,36.0,17.0,25.0
29830,27.0,15.0,23.0
29831,11.0,6.0,8.0
29832,34.0,15.0,23.0
29833,32.0,17.0,25.0
29834,34.0,26.0,28.0
29839,34.0,16.0,25.0
29840,36.0,16.0,25.0
29842,35.0,18.0,25.0
29844,35.0,17.0,27.0
29845,32.0,14.0,23.0
29846,29.0,13.0,21.0
