Sample	Pangolin_mqc-generalstats-pangolin-lineage	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	iVar_mqc-generalstats-ivar-reads_too_short_after_trimming	iVar_mqc-generalstats-ivar-reads_outside_primer_region	iVar_mqc-generalstats-ivar-trimmed_reads	iVar_mqc-generalstats-ivar-mapped_reads
V350082740_L14_33-33_1											79.18730000000001	0.911697	1643567138.0	0.379227	99.77367636583469	0.05214340720648004	97.00219010010676	37.0	100.0	30.0	9036617.0				
V350082740_L14_33-33_2																	96.61314730436588	38.0	100.0	30.0	9036617.0				
V350082740_L14_33-33_ivar																						549635	15972814	1553375	18018526
V350082740_L14_34-34		19938081	19938081	0.006470256	0.0	20473724.0	99.7873799284391	92.73121457997398	0.0007115929407640793	20517348.0															
V350082740_L14_34-34_1											79.55210000000001	0.915079	1876794580.0	0.377852	99.77994996351627	0.07423187227916164	97.05551025371174	37.0	100.0	30.0	10281298.0				
V350082740_L14_34-34_2																	96.86734448009412	38.0	100.0	30.0	10281298.0				
V350082740_L14_34-34_ivar																						587145	18496523	1505646	20525226
V350082740_L14_35-35		12621618	12621618	0.006013839	0.0	13120123.0	99.79146669262843	84.8034993618578	0.0005856608916953286	13147540.0															
V350082740_L14_35-35_1											79.43430000000001	0.902297	1185878978.0	0.374036	99.7505239210095	0.0605898657873018	97.08260915177831	37.0	100.0	30.0	6590211.0				
V350082740_L14_35-35_2																	96.27726843858295	37.0	100.0	30.0	6590211.0				
V350082740_L14_35-35_ivar																						504270	11658880	1007696	13125888
V350082740_L14_36-36		21138162	21138162	0.006259358	0.0	21723667.0	99.56070981952946	93.93440313392807	0.0006782917936134061	21819518.0															
V350082740_L14_36-36_1											77.3853	0.915269	1993205928.0	0.378584	99.76840598572448	0.3899558521909845	96.7311252382392	37.0	100.0	30.0	10935084.0				
V350082740_L14_36-36_2																	96.57031060104444	38.0	100.0	20.0	10935084.0				
V350082740_L14_36-36_ivar																						609510	19427267	1786531	21747672
V350082740_L14_37-37		24977965	24977965	0.005616874	0.0	25670998.0	99.70444819908609	93.69239883926318	0.0008000902936851826	25747094.0															
V350082740_L14_37-37_1											79.8821	0.918276	2361904147.0	0.377712	99.760006515548	0.21158482723530064	97.06098564047514	37.0	100.0	30.0	12904517.0				
V350082740_L14_37-37_2																	96.8743280212043	38.0	100.0	30.0	12904517.0				
V350082740_L14_37-37_ivar																						725902	22914377	2143562	25703867
V350082740_L14_38-38		10935089	10935089	0.006900061	0.0	11300592.0	99.75810368543627	90.37321170897513	0.0008651134525671536	11327994.0															
V350082740_L14_38-38_1											76.3514	0.911773	1032553034.0	0.378319	99.70226606260863	0.06585211421196355	96.86043396260177	37.0	100.0	30.0	5680911.0				
V350082740_L14_38-38_2																	94.80176465133248	38.0	100.0	30.0	5680911.0				
V350082740_L14_38-38_ivar																						391945	9917969	1056262	11327034
V350082740_L14_39-39		11174877	11174877	0.006514972	0.0	11605756.0	99.76446632367004	86.45399408380666	0.0007392662833714256	11633156.0															
V350082740_L14_39-39_1											78.6235	0.902526	1049627772.0	0.373008	99.75001521996928	0.048017931267476166	96.90449010630226	37.0	100.0	30.0	5831155.0				
V350082740_L14_39-39_2																	96.04496629760855	37.0	100.0	30.0	5831155.0				
V350082740_L14_39-39_ivar																						438082	10293796	920741	11612959
V350082740_L14_40-40		3743319	3743319	0.005762497	0.0	3857847.0	99.79752560614268	88.42421787248485	0.0008019300127222315	3865674.0															
V350082740_L14_40-40_1											72.7475	0.914541	353451806.0	0.378525	99.75073116278493	0.04489935577165736	95.08042403570892	37.0	100.0	30.0	1937667.0				
V350082740_L14_40-40_2																	94.07129024571898	38.0	100.0	30.0	1937667.0				
V350082740_L14_40-40_ivar																						117674	3435296	318671	3860993
V350082740_L14_41-41		10107858	10107858	0.005754674	0.0	10475340.0	99.78221036664938	84.90448461470172	0.0006191535237836872	10498204.0															
V350082740_L14_41-41_1											79.88159999999999	0.9092	954184536.0	0.37413	99.7356837233729	0.0553485237448587	97.00973528597187	37.0	100.0	30.0	5263013.0				
V350082740_L14_41-41_2																	96.2159856830193	37.0	100.0	30.0	5263013.0				
V350082740_L14_41-41_ivar																						376216	9337558	806025	10484074
V350082740_L14_42-42		13972968	13972968	0.005778662	0.0	14462313.0	99.87394829732484	82.67421314885067	0.00044887748172274484	14480566.0															
V350082740_L14_42-42_1											80.9476	0.908911	1315981644.0	0.373962	99.76193103991822	0.025972912938658044	97.44462182766438	37.0	100.0	30.0	7257561.0				
V350082740_L14_42-42_2																	96.67022674150115	37.0	100.0	30.0	7257561.0				
V350082740_L14_42-42_ivar																						496468	12899112	1117264	14469436
V350082740_L14_43-43		11712074	11712074	0.005849882	0.0	12232881.0	99.77289273082197	82.71878843063615	0.0006198654141687858	12260726.0															
V350082740_L14_43-43_1											77.55250000000001	0.897702	1100237740.0	0.374333	99.7129640322641	0.06644426407894587	96.9799015558249	37.0	100.0	30.0	6148010.0				
V350082740_L14_43-43_2																	95.52069527797725	37.0	100.0	30.0	6148010.0				
V350082740_L14_43-43_ivar																						529141	10786122	973522	12241215
V350082740_L14_44-44		16459827	16459827	0.005637927	0.0	17086166.0	99.8096589996349	88.1150317634173	0.000502373128879153	17118750.0															
