Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
V350082740_L14_39-39_2	V350082740_L14_39-39_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5831155.0	0.0	100.0	37.0	3.9550337023914444	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_40-40_1	V350082740_L14_40-40_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1937667.0	0.0	100.0	37.0	4.919575964291078	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_40-40_2	V350082740_L14_40-40_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1937667.0	0.0	100.0	38.0	5.928709754281018	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_41-41_1	V350082740_L14_41-41_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5263013.0	0.0	100.0	37.0	2.990264714028134	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_41-41_2	V350082740_L14_41-41_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5263013.0	0.0	100.0	37.0	3.7840143169807017	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_42-42_1	V350082740_L14_42-42_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7257561.0	0.0	100.0	37.0	2.5553781723356246	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_42-42_2	V350082740_L14_42-42_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7257561.0	0.0	100.0	37.0	3.3297732584988458	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_43-43_1	V350082740_L14_43-43_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6148010.0	0.0	100.0	37.0	3.020098444175104	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_43-43_2	V350082740_L14_43-43_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6148010.0	0.0	100.0	37.0	4.479304722022749	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_44-44_1	V350082740_L14_44-44_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8581702.0	0.0	100.0	37.0	2.8992777437573087	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_44-44_2	V350082740_L14_44-44_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8581702.0	0.0	100.0	37.0	3.7833650437251793	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_45-45_1	V350082740_L14_45-45_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5341080.0	0.0	100.0	37.0	3.3187485940905934	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_45-45_2	V350082740_L14_45-45_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5341080.0	0.0	100.0	37.0	4.726951880233563	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_46-46_1	V350082740_L14_46-46_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4124032.0	0.0	100.0	37.0	3.1974422932433417	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_46-46_2	V350082740_L14_46-46_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4124032.0	0.0	100.0	37.0	4.167433252635458	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_47-47_1	V350082740_L14_47-47_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1992579.0	0.0	100.0	37.0	4.363942408306019	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_47-47_2	V350082740_L14_47-47_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1992579.0	0.0	100.0	37.0	5.025372315708405	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_48-48_1	V350082740_L14_48-48_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4440291.0	0.0	100.0	37.0	3.25389980320068	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_48-48_2	V350082740_L14_48-48_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4440291.0	0.0	100.0	37.0	4.1760871319168045	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_49-49_1	V350082740_L14_49-49_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6793724.0	0.0	100.0	37.0	3.2889085724477867	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
