Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
V350082740_L14_48-48	8528236	0	0	0	4381	0	0	0	8528236	0	100.0	nan	8523855	0	4321286	0	4202569	0	7652782	0	89.78	nan	8516991	0	6864	0	0.08	nan	0	0	0	0	8528236
V350082740_L14_49-49	13137301	0	0	0	13744	0	0	0	13137301	0	100.0	nan	13123557	0	6603684	0	6519873	0	12198773	0	92.95	nan	13115740	0	7817	0	0.06	nan	0	0	0	0	13137301
V350082740_L14_50-50	39431064	0	0	0	45494	0	0	0	39431064	0	100.0	nan	39385570	0	19746808	0	19638762	0	37196724	0	94.44	nan	39355341	0	30229	0	0.08	nan	0	0	0	0	39431064
V350082740_L14_51-51	20500299	0	0	0	15989	0	0	0	20500299	0	100.0	nan	20484310	0	10315761	0	10168549	0	19260288	0	94.02	nan	20471272	0	13038	0	0.06	nan	0	0	0	0	20500299
V350082740_L14_52-52	20021955	0	0	0	17415	0	0	0	20021955	0	100.0	nan	20004540	0	10055926	0	9948614	0	18564486	0	92.8	nan	19994770	0	9770	0	0.05	nan	0	0	0	0	20021955
V350082740_L14_53-53	14566796	0	0	0	85763	0	0	0	14566796	0	100.0	nan	14481033	0	7319694	0	7161339	0	14393675	0	99.4	nan	14425320	0	55713	0	0.38	nan	0	0	0	0	14566796
V350082740_L14_54-54	30755053	0	0	0	29871	0	0	0	30755053	0	100.0	nan	30725182	0	15450318	0	15274864	0	29282774	0	95.31	nan	30709244	0	15938	0	0.05	nan	0	0	0	0	30755053
V350082740_L14_55-55	37996534	0	0	0	25766	0	0	0	37996534	0	100.0	nan	37970768	0	19078467	0	18892301	0	35737066	0	94.12	nan	37946165	0	24603	0	0.06	nan	0	0	0	0	37996534
V350082740_L14_56-56	30093846	0	0	0	63830	0	0	0	30093846	0	100.0	nan	30030016	0	15059727	0	14970289	0	25632133	0	85.36	nan	29805225	0	224791	0	0.75	nan	0	0	0	0	30093846
V350082740_L14_57-57	25320251	0	0	0	33667	0	0	0	25320251	0	100.0	nan	25286584	0	12694621	0	12591963	0	23666398	0	93.59	nan	25275394	0	11190	0	0.04	nan	0	0	0	0	25320251
V350082740_L14_58-58	38026737	0	0	0	62150	0	0	0	38026737	0	100.0	nan	37964587	0	19065099	0	18899488	0	35946950	0	94.69	nan	37940474	0	24113	0	0.06	nan	0	0	0	0	38026737
V350082740_L14_59-59	53746721	0	0	0	86636	0	0	0	53746721	0	100.0	nan	53660085	0	26875916	0	26784169	0	51484618	0	95.95	nan	53627579	0	32506	0	0.06	nan	0	0	0	0	53746721
V350082740_L14_60-60	45801549	0	0	0	90155	0	0	0	45801549	0	100.0	nan	45711394	0	22895666	0	22815728	0	43807527	0	95.84	nan	45678463	0	32931	0	0.07	nan	0	0	0	0	45801549
V350082740_L14_61-61	6605393	0	0	0	24702	0	0	0	6605393	0	100.0	nan	6580691	0	3340763	0	3239928	0	6552158	0	99.57	nan	6560529	0	20162	0	0.31	nan	0	0	0	0	6605393
V350082740_L14_62-62	28196372	0	0	0	53480	0	0	0	28196372	0	100.0	nan	28142892	0	14129740	0	14013152	0	26837731	0	95.36	nan	28126015	0	16877	0	0.06	nan	0	0	0	0	28196372
V350082740_L14_63-63	15466950	0	0	0	24625	0	0	0	15466950	0	100.0	nan	15442325	0	7770203	0	7672122	0	14219301	0	92.08	nan	15431409	0	10916	0	0.07	nan	0	0	0	0	15466950
V350082740_L14_64-64	27302231	0	0	0	17222	0	0	0	27302231	0	100.0	nan	27285009	0	13707286	0	13577723	0	26009548	0	95.33	nan	27268512	0	16497	0	0.06	nan	0	0	0	0	27302231
V350082740_L14_65-65	44145616	0	0	0	22419	0	0	0	44145616	0	100.0	nan	44123197	0	22114512	0	22008685	0	42072238	0	95.35	nan	44096675	0	26522	0	0.06	nan	0	0	0	0	44145616
V350082740_L14_66-66	29091469	0	0	0	32831	0	0	0	29091469	0	100.0	nan	29058638	0	14621449	0	14437189	0	27456251	0	94.49	nan	29042625	0	16013	0	0.06	nan	0	0	0	0	29091469
V350082740_L14_67-67	21536040	0	0	0	28200	0	0	0	21536040	0	100.0	nan	21507840	0	10778438	0	10729402	0	20507042	0	95.35	nan	21490680	0	17160	0	0.08	nan	0	0	0	0	21536040
V350082740_L14_68-68	11587525	0	0	0	22487	0	0	0	11587525	0	100.0	nan	11565038	0	5814094	0	5750944	0	9535479	0	82.45	nan	11490096	0	74942	0	0.65	nan	0	0	0	0	11587525
V350082740_L14_69-69	25237908	0	0	0	31190	0	0	0	25237908	0	100.0	nan	25206718	0	12635342	0	12571376	0	23882738	0	94.75	nan	25192160	0	14558	0	0.06	nan	0	0	0	0	25237908
V350082740_L14_70-70	31020214	0	0	0	44786	0	0	0	31020214	0	100.0	nan	30975428	0	15510350	0	15465078	0	29332669	0	94.7	nan	30942513	0	32915	0	0.11	nan	0	0	0	0	31020214
V350082740_L14_71-71	9642834	0	0	0	12701	0	0	0	9642834	0	100.0	nan	9630133	0	4842920	0	4787213	0	8753502	0	90.9	nan	9617308	0	12825	0	0.13	nan	0	0	0	0	9642834
V350082740_L14_72-72	21193942	0	0	0	24419	0	0	0	21193942	0	100.0	nan	21169523	0	10639015	0	10530508	0	19663698	0	92.89	nan	21155391	0	14132	0	0.07	nan	0	0	0	0	21193942
V350082740_L14_73-73	19993305	0	0	0	32814	0	0	0	19993305	0	100.0	nan	19960491	0	9994621	0	9965870	0	17201929	0	86.18	nan	19868043	0	92448	0	0.46	nan	0	0	0	0	19993305
V350082740_L14_74-74	23097893	0	0	0	99823	0	0	0	23097893	0	100.0	nan	22998070	0	11575019	0	11423051	0	19361895	0	84.19	nan	22856510	0	141560	0	0.62	nan	0	0	0	0	23097893
V350082740_L14_75-75	21559997	0	0	0	20735	0	0	0	21559997	0	100.0	nan	21539262	0	10789036	0	10750226	0	20311466	0	94.3	nan	21524202	0	15060	0	0.07	nan	0	0	0	0	21559997
V350082740_L14_76-76	7683780	0	0	0	29889	0	0	0	7683780	0	100.0	nan	7653891	0	3849476	0	3804415	0	7323100	0	95.68	nan	7640094	0	13797	0	0.18	nan	0	0	0	0	7683780
V350082740_L14_77-77	8288199	0	0	0	12818	0	0	0	8288199	0	100.0	nan	8275381	0	4169233	0	4106148	0	8260709	0	99.82	nan	8268584	0	6797	0	0.08	nan	0	0	0	0	8288199
V350082740_L14_78-78	16637430	0	0	0	41406	0	0	0	16637430	0	100.0	nan	16596024	0	8336494	0	8259530	0	15391629	0	92.74	nan	16584924	0	11100	0	0.07	nan	0	0	0	0	16637430
V350082740_L14_79-79	19857354	0	0	0	23972	0	0	0	19857354	0	100.0	nan	19833382	0	10009305	0	9824077	0	18318898	0	92.36	nan	19816085	0	17297	0	0.09	nan	0	0	0	0	19857354
V350082740_L14_80-80	27317469	0	0	0	69227	0	0	0	27317469	0	100.0	nan	27248242	0	13696791	0	13551451	0	25310184	0	92.89	nan	27231877	0	16365	0	0.06	nan	0	0	0	0	27317469
V350082740_L14_81-81	16665084	0	0	0	14991	0	0	0	16665084	0	100.0	nan	16650093	0	8364389	0	8285704	0	15777105	0	94.76	nan	16642128	0	7965	0	0.05	nan	0	0	0	0	16665084
V350082740_L14_82-82	8486621	0	0	0	8789	0	0	0	8486621	0	100.0	nan	8477832	0	4264865	0	4212967	0	7884700	0	93.0	nan	8472763	0	5069	0	0.06	nan	0	0	0	0	8486621
V350082740_L14_83-83	19885784	0	0	0	16521	0	0	0	19885784	0	100.0	nan	19869263	0	9983247	0	9886016	0	18727994	0	94.26	nan	19852443	0	16820	0	0.08	nan	0	0	0	0	19885784
V350082740_L14_84-84	14408528	0	0	0	35136	0	0	0	14408528	0	100.0	nan	14373392	0	7235927	0	7137465	0	13194025	0	91.79	nan	14362626	0	10766	0	0.07	nan	0	0	0	0	14408528
V350082740_L14_85-85	31205877	0	0	0	20295	0	0	0	31205877	0	100.0	nan	31185582	0	15679347	0	15506235	0	29324666	0	94.03	nan	31163229	0	22353	0	0.07	nan	0	0	0	0	31205877
V350082740_L14_86-86	3529463	0	0	0	8627	0	0	0	3529463	0	100.0	nan	3520836	0	1767533	0	1753303	0	3128094	0	88.85	nan	3518808	0	2028	0	0.06	nan	0	0	0	0	3529463
V350082740_L14_87-87	33049368	0	0	0	48683	0	0	0	33049368	0	100.0	nan	33000685	0	16603952	0	16396733	0	31195632	0	94.53	nan	32980233	0	20452	0	0.06	nan	0	0	0	0	33049368
V350082740_L14_88-88	15399802	0	0	0	48368	0	0	0	15399802	0	100.0	nan	15351434	0	7713975	0	7637459	0	15292382	0	99.62	nan	15340039	0	11395	0	0.07	nan	0	0	0	0	15399802
V350082740_L14_89-89	29152851	0	0	0	42365	0	0	0	29152851	0	100.0	nan	29110486	0	14644676	0	14465810	0	27095760	0	93.08	nan	29094090	0	16396	0	0.06	nan	0	0	0	0	29152851
V350082740_L14_90-90	22453407	0	0	0	48349	0	0	0	22453407	0	100.0	nan	22405058	0	11225642	0	11179416	0	20795564	0	92.82	nan	22379364	0	25694	0	0.11	nan	0	0	0	0	22453407
V350082740_L14_91-91	34145660	0	0	0	51934	0	0	0	34145660	0	100.0	nan	34093726	0	17057394	0	17036332	0	32519676	0	95.38	nan	34080373	0	13353	0	0.04	nan	0	0	0	0	34145660
V350082740_L14_92-92	9781641	0	0	0	7064	0	0	0	9781641	0	100.0	nan	9774577	0	4928674	0	4845903	0	8876451	0	90.81	nan	9769375	0	5202	0	0.05	nan	0	0	0	0	9781641
V350082740_L14_93-93	10975556	0	0	0	6823	0	0	0	10975556	0	100.0	nan	10968733	0	5537567	0	5431166	0	9943074	0	90.65	nan	10960238	0	8495	0	0.08	nan	0	0	0	0	10975556
V350082740_L14_94-94	4898601	0	0	0	3489	0	0	0	4898601	0	100.0	nan	4895112	0	2460696	0	2434416	0	4339414	0	88.65	nan	4890603	0	4509	0	0.09	nan	0	0	0	0	4898601
V350082740_L14_95-95	21676533	0	0	0	33680	0	0	0	21676533	0	100.0	nan	21642853	0	10881634	0	10761219	0	20137590	0	93.04	nan	21631659	0	11194	0	0.05	nan	0	0	0	0	21676533
V350082740_L14_96-96	30347228	0	0	0	27059	0	0	0	30347228	0	100.0	nan	30320169	0	15277134	0	15043035	0	28990954	0	95.62	nan	30302419	0	17750	0	0.06	nan	0	0	0	0	30347228
