Sample	command
V350082740_L14_41-41_1	fastp -i V350082740_L14_41-41_1.fq.gz -I V350082740_L14_41-41_2.fq.gz -o fastp/V350082740_L14_41-41_clean_PE1.fastq.gz -O fastp/V350082740_L14_41-41_clean_PE2.fastq.gz -h fastp/V350082740_L14_41-41_fastp.html -j fastp/V350082740_L14_41-41_fastp.json 
V350082740_L14_42-42_1	fastp -i V350082740_L14_42-42_1.fq.gz -I V350082740_L14_42-42_2.fq.gz -o fastp/V350082740_L14_42-42_clean_PE1.fastq.gz -O fastp/V350082740_L14_42-42_clean_PE2.fastq.gz -h fastp/V350082740_L14_42-42_fastp.html -j fastp/V350082740_L14_42-42_fastp.json 
V350082740_L14_43-43_1	fastp -i V350082740_L14_43-43_1.fq.gz -I V350082740_L14_43-43_2.fq.gz -o fastp/V350082740_L14_43-43_clean_PE1.fastq.gz -O fastp/V350082740_L14_43-43_clean_PE2.fastq.gz -h fastp/V350082740_L14_43-43_fastp.html -j fastp/V350082740_L14_43-43_fastp.json 
V350082740_L14_44-44_1	fastp -i V350082740_L14_44-44_1.fq.gz -I V350082740_L14_44-44_2.fq.gz -o fastp/V350082740_L14_44-44_clean_PE1.fastq.gz -O fastp/V350082740_L14_44-44_clean_PE2.fastq.gz -h fastp/V350082740_L14_44-44_fastp.html -j fastp/V350082740_L14_44-44_fastp.json 
V350082740_L14_45-45_1	fastp -i V350082740_L14_45-45_1.fq.gz -I V350082740_L14_45-45_2.fq.gz -o fastp/V350082740_L14_45-45_clean_PE1.fastq.gz -O fastp/V350082740_L14_45-45_clean_PE2.fastq.gz -h fastp/V350082740_L14_45-45_fastp.html -j fastp/V350082740_L14_45-45_fastp.json 
V350082740_L14_46-46_1	fastp -i V350082740_L14_46-46_1.fq.gz -I V350082740_L14_46-46_2.fq.gz -o fastp/V350082740_L14_46-46_clean_PE1.fastq.gz -O fastp/V350082740_L14_46-46_clean_PE2.fastq.gz -h fastp/V350082740_L14_46-46_fastp.html -j fastp/V350082740_L14_46-46_fastp.json 
V350082740_L14_47-47_1	fastp -i V350082740_L14_47-47_1.fq.gz -I V350082740_L14_47-47_2.fq.gz -o fastp/V350082740_L14_47-47_clean_PE1.fastq.gz -O fastp/V350082740_L14_47-47_clean_PE2.fastq.gz -h fastp/V350082740_L14_47-47_fastp.html -j fastp/V350082740_L14_47-47_fastp.json 
V350082740_L14_48-48_1	fastp -i V350082740_L14_48-48_1.fq.gz -I V350082740_L14_48-48_2.fq.gz -o fastp/V350082740_L14_48-48_clean_PE1.fastq.gz -O fastp/V350082740_L14_48-48_clean_PE2.fastq.gz -h fastp/V350082740_L14_48-48_fastp.html -j fastp/V350082740_L14_48-48_fastp.json 
V350082740_L14_49-49_1	fastp -i V350082740_L14_49-49_1.fq.gz -I V350082740_L14_49-49_2.fq.gz -o fastp/V350082740_L14_49-49_clean_PE1.fastq.gz -O fastp/V350082740_L14_49-49_clean_PE2.fastq.gz -h fastp/V350082740_L14_49-49_fastp.html -j fastp/V350082740_L14_49-49_fastp.json 
V350082740_L14_50-50_1	fastp -i V350082740_L14_50-50_1.fq.gz -I V350082740_L14_50-50_2.fq.gz -o fastp/V350082740_L14_50-50_clean_PE1.fastq.gz -O fastp/V350082740_L14_50-50_clean_PE2.fastq.gz -h fastp/V350082740_L14_50-50_fastp.html -j fastp/V350082740_L14_50-50_fastp.json 
V350082740_L14_51-51_1	fastp -i V350082740_L14_51-51_1.fq.gz -I V350082740_L14_51-51_2.fq.gz -o fastp/V350082740_L14_51-51_clean_PE1.fastq.gz -O fastp/V350082740_L14_51-51_clean_PE2.fastq.gz -h fastp/V350082740_L14_51-51_fastp.html -j fastp/V350082740_L14_51-51_fastp.json 
V350082740_L14_52-52_1	fastp -i V350082740_L14_52-52_1.fq.gz -I V350082740_L14_52-52_2.fq.gz -o fastp/V350082740_L14_52-52_clean_PE1.fastq.gz -O fastp/V350082740_L14_52-52_clean_PE2.fastq.gz -h fastp/V350082740_L14_52-52_fastp.html -j fastp/V350082740_L14_52-52_fastp.json 
V350082740_L14_53-53_1	fastp -i V350082740_L14_53-53_1.fq.gz -I V350082740_L14_53-53_2.fq.gz -o fastp/V350082740_L14_53-53_clean_PE1.fastq.gz -O fastp/V350082740_L14_53-53_clean_PE2.fastq.gz -h fastp/V350082740_L14_53-53_fastp.html -j fastp/V350082740_L14_53-53_fastp.json 
V350082740_L14_54-54_1	fastp -i V350082740_L14_54-54_1.fq.gz -I V350082740_L14_54-54_2.fq.gz -o fastp/V350082740_L14_54-54_clean_PE1.fastq.gz -O fastp/V350082740_L14_54-54_clean_PE2.fastq.gz -h fastp/V350082740_L14_54-54_fastp.html -j fastp/V350082740_L14_54-54_fastp.json 
V350082740_L14_55-55_1	fastp -i V350082740_L14_55-55_1.fq.gz -I V350082740_L14_55-55_2.fq.gz -o fastp/V350082740_L14_55-55_clean_PE1.fastq.gz -O fastp/V350082740_L14_55-55_clean_PE2.fastq.gz -h fastp/V350082740_L14_55-55_fastp.html -j fastp/V350082740_L14_55-55_fastp.json 
V350082740_L14_56-56_1	fastp -i V350082740_L14_56-56_1.fq.gz -I V350082740_L14_56-56_2.fq.gz -o fastp/V350082740_L14_56-56_clean_PE1.fastq.gz -O fastp/V350082740_L14_56-56_clean_PE2.fastq.gz -h fastp/V350082740_L14_56-56_fastp.html -j fastp/V350082740_L14_56-56_fastp.json 
V350082740_L14_57-57_1	fastp -i V350082740_L14_57-57_1.fq.gz -I V350082740_L14_57-57_2.fq.gz -o fastp/V350082740_L14_57-57_clean_PE1.fastq.gz -O fastp/V350082740_L14_57-57_clean_PE2.fastq.gz -h fastp/V350082740_L14_57-57_fastp.html -j fastp/V350082740_L14_57-57_fastp.json 
V350082740_L14_58-58_1	fastp -i V350082740_L14_58-58_1.fq.gz -I V350082740_L14_58-58_2.fq.gz -o fastp/V350082740_L14_58-58_clean_PE1.fastq.gz -O fastp/V350082740_L14_58-58_clean_PE2.fastq.gz -h fastp/V350082740_L14_58-58_fastp.html -j fastp/V350082740_L14_58-58_fastp.json 
V350082740_L14_59-59_1	fastp -i V350082740_L14_59-59_1.fq.gz -I V350082740_L14_59-59_2.fq.gz -o fastp/V350082740_L14_59-59_clean_PE1.fastq.gz -O fastp/V350082740_L14_59-59_clean_PE2.fastq.gz -h fastp/V350082740_L14_59-59_fastp.html -j fastp/V350082740_L14_59-59_fastp.json 
V350082740_L14_60-60_1	fastp -i V350082740_L14_60-60_1.fq.gz -I V350082740_L14_60-60_2.fq.gz -o fastp/V350082740_L14_60-60_clean_PE1.fastq.gz -O fastp/V350082740_L14_60-60_clean_PE2.fastq.gz -h fastp/V350082740_L14_60-60_fastp.html -j fastp/V350082740_L14_60-60_fastp.json 
V350082740_L14_61-61_1	fastp -i V350082740_L14_61-61_1.fq.gz -I V350082740_L14_61-61_2.fq.gz -o fastp/V350082740_L14_61-61_clean_PE1.fastq.gz -O fastp/V350082740_L14_61-61_clean_PE2.fastq.gz -h fastp/V350082740_L14_61-61_fastp.html -j fastp/V350082740_L14_61-61_fastp.json 
V350082740_L14_62-62_1	fastp -i V350082740_L14_62-62_1.fq.gz -I V350082740_L14_62-62_2.fq.gz -o fastp/V350082740_L14_62-62_clean_PE1.fastq.gz -O fastp/V350082740_L14_62-62_clean_PE2.fastq.gz -h fastp/V350082740_L14_62-62_fastp.html -j fastp/V350082740_L14_62-62_fastp.json 
